VALID_NAME,LANGUAGE,COMMON_NAME_1,COMMON_NAME_2,COMMON_NAME_3
Adelotremus deloachi,English,Spotfin fangblenny,,
Adventor elongatus,English,Sandpaper velvetfish,Visitor,
Aeoliscus punctulatus,English,Speckled shrimpfish,Shrimpfish,
Aeoliscus strigatus,English,Coral shrimpfish,Jointed razorfish,Shrimp fish
Aesopia cornuta,English,Dark thick-rayed sole,Horned sole,Unicorn sole
Aetapcus maculatus,English,Smooth prowfish,Tasmanian prowfish,Warty prowfish
Aethaloperca rogaa,English,Red-flushed cod,Red-flushed rock-cod,Red-flushed rockcod
Aethotaxis mitopteryx,English,Longfin icedevil,Threadfin pithead,
Afurcagobius suppositus,English,Long-headed goby,South-western goby,Southwestern goby
Agonomalus mozinoi,English,Kelp poacher,,
Agonopsis chiloensis,English,Snailfish,,
Agonopsis sterletus,English,Southern spearnose poacher,,
Agonopsis vulsa,English,Northern spearnose poacher,Window-tailed sea-poacher,Windowtail poacher
Agonostomus telfairii,English,Fairy mullet,,
Agonus cataphractus,English,Armed bullhead,Hook-nose,Hooknose
Agrostichthys parkeri,English,Benham's streamerfish,Streamer fish,Oarfish
Ahlia egmontis,English,Key worm eel,Worm eel,
Aioliops brachypterus,English,Shortfin minidartfish,,
Aioliops megastigma,English,Bigspot minidartfish,Mini dart-goby,
Aioliops novaeguineae,English,New guinea minidartfish,,
Aioliops tetrophthalmus,English,Four-eye mini dartgoby,,
Akarotaxis gouldae,English,Banded dragonfish,,
Alabes brevis,English,Short shore eel,,
Alabes dorsalis,English,Common shore eel,Common shore-eel,Red-banded shore eel
Alabes elongata,English,Elongate shore eel,,
Alabes gibbosa,English,Hunchback shore eel,,
Alabes hoesei,English,Dwarf shore eel,Dwarf shore-eel,Hoese's shore eel
Alabes obtusirostris,English,Pugnose shore eel,,
Alabes occidentalis,English,Western shore eel,,
Alabes parvula,English,Eel clingfish,Pygmy shore eel,Pygmy shore-eel
Alabes scotti,English,Scott's shore eel,,
Albatrossia pectoralis,English,Giant grenadier,Giant rattail,Pectoral rattail
Albula argentea,English,Ghost of the flats,Grey ghost,Lady fish
Albula esuncula,English,Eastern Pacific bonefish,,
Albula gilberti,English,Cortez bonefish,,
Albula glossodonta,English,Indo-Pacific bonefish,Roundjaw bonefish,Sharpjaw bonefish
Albula koreana,English,Korean bonefish,,
Albula oligolepis,English,Smallscale bonefish,,
Albula pacifica,English,Pacific shafted bonefish,Shafted bonefish,
Albula vulpes,English,Banana fish,Indo-Pacific bonefish,Lady fish
Aldrichetta forsteri,English,Coorong mullet,Estuary mullet,Forster's mullet
Aldrovandia affinis,English,Allied halosaur,Gilbert's halosaurid fish,Halosaur
Aldrovandia phalacra,English,Baldhead halosaur,Hawaiian halosaurid fish,Kauai halosaurid fish
Alectis ciliaris,English,African pompano,Ciliated thread-fish,Ciliated threadfin
Alectrias alectrolophus,English,Stone cockscomb,,
Alectrias benjamini,English,Spiny cockscomb,,
Alectrias cirratus,English,Ciliate cockscomb,,
Alectrias gallinus,English,Shaggy cockscomb,,
Alectrias markevichi,English,Slender cockscomb,,
Alectrias mutsuensis,English,Maned cockscomb,,
Alectridium aurantiacum,English,Lesser prickleback,,
Alepes apercna,English,Banded scad,Roundfin trevally,Small mouth scad
Alepes djedaba,English,Banded scad,Djebbada crevalle,Djeddaba crevalle
Alepes kleinii,English,Banded scad,Deep-bellied crevalle,Goggle-eye scad
Alepes melanoptera,English,Banded scad,Black fin crevalle,Blackfin crevalle
Alepes vari,English,Blackfin scad,Deep-bodied crevalle,Duskyfin crevalle
Alepisaurus brevirostris,English,Lancet fish,Short snouted lancetfish,Shortnose lancetfish
Alepisaurus ferox,English,Day sarpon,Handsaw fish,Lancet fish
Alepocephalus agassizii,English,Agassiz' slickhead,Agassiz' smooth-head,Dusky slickhead
Alepocephalus antipodianus,English,Antipodean slickhead,,
Alepocephalus australis,English,Brown slickhead,Small scaled brown slickhead,Smallscale slickhead
Alepocephalus bairdii,English,Baird's slickhead,Baird's smooth head,Baird's smooth-head
Alepocephalus bicolor,English,Bicolor slickhead,Naked head,
Alepocephalus longiceps,English,Longfin slickhead,,
Alepocephalus longirostris,English,Longsnout slickhead,,
Alepocephalus owstoni,English,Owston's slickhead,,
Alepocephalus productus,English,Smalleye smooth-head,,
Alepocephalus rostratus,English,Risso's smooth-head,,
Alepocephalus tenebrosus,English,California slickhead,,
Alepocephalus triangularis,English,Triangulate slickhead,,
Alepocephalus umbriceps,English,Slickhead,,
Alertichthys blacki,English,Alert pigfish,,
Alionematichthys crassiceps,English,Bighead viviparous brotula,,
Alionematichthys phuketensis,English,Phuket viviparous brotula,,
Alionematichthys piger,English,Whiskered viviparous brotula,,
Alionematichthys plicatosurculus,English,Folded viviparous brotula,,
Alionematichthys riukiuensis,English,Bigeye cusk,Robust cusk,
Alionematichthys suluensis,English,Sulu viviparous brotula,,
Allenbatrachus grunniens,English,Frog fish,Grunting toadfish,Frogfish
Allenbatrachus reticulatus,English,Reticulated toadfish,,
Allenichthys glauerti,English,Glauert's anglerfish,Glauert's frogfish,
Allips concolor,English,Smalleye snake eel,,
Alloblennius frondiculus,English,Leaf blenny,,
Alloblennius jugularis,English,Jugular blenny,,
Alloblennius parvus,English,Dwarf blenny,,
Allocareproctus jordani,English,Cherry snailfish,,
Allocareproctus kallaion,English,Combed snailfish,,
Allocareproctus tanix,English,Peach snailfish,,
Allocareproctus unangas,English,Goldeneye snailfish,,
Allocareproctus ungak,English,Whiskered snailfish,,
Alloclinus holderi,English,Island kelpfish,,
Allocyttus folletti,English,Oxeye oreo,,
Allocyttus guineensis,English,Guinea oreo,,
Allocyttus niger,English,Black dory,Black oreo,Black oreo dory
Allocyttus verrucosus,English,Black oreo,Black oreodory,Oreo dory
Allomicrodesmus dorotheae,English,Dorothea's wriggler,Toothpick wriggler,
Allomycterus pilatus,English,Deep-water burrfish,Deepwater burrfish,Deepwater porcupinefish
Allosmerus elongatus,English,Whitebait smelt,,
Allothunnus fallai,English,Falla's tuna,Slender tuna,Tuna
Alosa aestivalis,English,Blueback glut herring,Blueback herring,Blueback shad
Alosa alabamae,English,Alabama shad,Gulf shad,Ohio shad
Alosa algeriensis,English,North African shad,,
